Date,City,Team1,Team2,Venue,Winner
2026-05-16,Kolkata,Kolkata Knight Riders,Gujarat Titans,"Eden Gardens, Kolkata",Kolkata Knight Riders
2026-05-17,Dharamsala,Royal Challengers Bengaluru,Punjab Kings,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Royal Challengers Bengaluru
2026-05-17,Delhi,Rajasthan Royals,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Delhi Capitals
2026-05-18,Chennai,Chennai Super Kings,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk, Chennai",Sunrisers Hyderabad
2026-05-19,Jaipur,Lucknow Super Giants,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals
2026-05-20,Kolkata,Mumbai Indians,Kolkata Knight Riders,"Eden Gardens, Kolkata",Kolkata Knight Riders
2026-05-21,Ahmedabad,Gujarat Titans,Chennai Super Kings,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans
2026-05-22,Hyderabad,Sunrisers Hyderabad,Royal Challengers Bengaluru,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad
2026-05-23,Lucknow,Lucknow Super Giants,Punjab Kings,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Punjab Kings
2026-05-24,Mumbai,Rajasthan Royals,Mumbai Indians,"Wankhede Stadium, Mumbai",Rajasthan Royals
2026-05-24,Kolkata,Delhi Capitals,Kolkata Knight Riders,"Eden Gardens, Kolkata",Delhi Capitals
2026-05-26,Dharamsala,Royal Challengers Bengaluru,Gujarat Titans,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Royal Challengers Bengaluru
2026-05-27,New Chandigarh,Rajasthan Royals,Sunrisers Hyderabad,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",Rajasthan Royals
2026-05-29,New Chandigarh,Rajasthan Royals,Gujarat Titans,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",Gujarat Titans
2026-05-31,Ahmedabad,Gujarat Titans,Royal Challengers Bengaluru,"Narendra Modi Stadium, Ahmedabad",Royal Challengers Bengaluru
2008-04-18,Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,Kolkata Knight Riders
2008-04-19,Chandigarh,Kings XI Punjab,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings
2008-04-19,Delhi,Delhi Daredevils,Rajasthan Royals,Feroz Shah Kotla,Delhi Daredevils
2008-04-20,Mumbai,Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,Royal Challengers Bangalore
2008-04-20,Kolkata,Kolkata Knight Riders,Deccan Chargers,Eden Gardens,Kolkata Knight Riders
2008-04-21,Jaipur,Rajasthan Royals,Kings XI Punjab,Sawai Mansingh Stadium,Rajasthan Royals
2008-04-22,Hyderabad,Deccan Chargers,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",Delhi Daredevils
2008-04-23,Chennai,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
2008-04-24,Hyderabad,Deccan Chargers,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",Rajasthan Royals
2008-04-25,Chandigarh,Kings XI Punjab,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab
2008-04-26,Bangalore,Royal Challengers Bangalore,Rajasthan Royals,M Chinnaswamy Stadium,Rajasthan Royals
2008-04-26,Chennai,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
2008-04-27,Mumbai,Mumbai Indians,Deccan Chargers,Dr DY Patil Sports Academy,Deccan Chargers
2008-04-27,Chandigarh,Kings XI Punjab,Delhi Daredevils,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab
2008-04-28,Bangalore,Royal Challengers Bangalore,Chennai Super Kings,M Chinnaswamy Stadium,Chennai Super Kings
2008-04-29,Kolkata,Kolkata Knight Riders,Mumbai Indians,Eden Gardens,Mumbai Indians
2008-04-30,Delhi,Delhi Daredevils,Royal Challengers Bangalore,Feroz Shah Kotla,Delhi Daredevils
2008-05-01,Hyderabad,Deccan Chargers,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",Kings XI Punjab
2008-05-01,Jaipur,Rajasthan Royals,Kolkata Knight Riders,Sawai Mansingh Stadium,Rajasthan Royals
2008-05-02,Chennai,Chennai Super Kings,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",Delhi Daredevils
2008-05-25,Hyderabad,Deccan Chargers,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",Royal Challengers Bangalore
2008-05-03,Chandigarh,Kings XI Punjab,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab
2008-05-04,Mumbai,Mumbai Indians,Delhi Daredevils,Dr DY Patil Sports Academy,Mumbai Indians
2008-05-04,Jaipur,Rajasthan Royals,Chennai Super Kings,Sawai Mansingh Stadium,Rajasthan Royals
2008-05-05,Bangalore,Royal Challengers Bangalore,Kings XI Punjab,M Chinnaswamy Stadium,Kings XI Punjab
2008-05-06,Chennai,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",Deccan Chargers
2008-05-07,Mumbai,Mumbai Indians,Rajasthan Royals,Dr DY Patil Sports Academy,Mumbai Indians
2008-05-08,Delhi,Delhi Daredevils,Chennai Super Kings,Feroz Shah Kotla,Chennai Super Kings
2008-05-08,Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens,Kolkata Knight Riders
2008-05-09,Jaipur,Rajasthan Royals,Deccan Chargers,Sawai Mansingh Stadium,Rajasthan Royals
2008-05-28,Bangalore,Royal Challengers Bangalore,Mumbai Indians,M Chinnaswamy Stadium,Mumbai Indians
2008-05-10,Chennai,Chennai Super Kings,Kings XI Punjab,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
2008-05-11,Hyderabad,Deccan Chargers,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",Kolkata Knight Riders
2008-05-11,Jaipur,Rajasthan Royals,Delhi Daredevils,Sawai Mansingh Stadium,Rajasthan Royals
2008-05-12,Chandigarh,Kings XI Punjab,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab
2008-05-13,Kolkata,Kolkata Knight Riders,Delhi Daredevils,Eden Gardens,Kolkata Knight Riders
2008-05-14,Mumbai,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,Mumbai Indians
2008-05-28,Chandigarh,Kings XI Punjab,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab
2008-05-15,Delhi,Delhi Daredevils,Deccan Chargers,Feroz Shah Kotla,Delhi Daredevils
2008-05-16,Mumbai,Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,Mumbai Indians
2008-05-17,Delhi,Delhi Daredevils,Kings XI Punjab,Feroz Shah Kotla,Kings XI Punjab
2008-05-17,Jaipur,Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,Rajasthan Royals
2008-05-18,Hyderabad,Deccan Chargers,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians
2008-05-18,Kolkata,Kolkata Knight Riders,Chennai Super Kings,Eden Gardens,Chennai Super Kings
2008-05-19,Bangalore,Royal Challengers Bangalore,Delhi Daredevils,M Chinnaswamy Stadium,Delhi Daredevils
2008-05-20,Kolkata,Kolkata Knight Riders,Rajasthan Royals,Eden Gardens,Rajasthan Royals
2008-05-21,Mumbai,Mumbai Indians,Kings XI Punjab,Wankhede Stadium,Kings XI Punjab
2008-05-21,Chennai,Chennai Super Kings,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore
2008-05-23,Chandigarh,Kings XI Punjab,Deccan Chargers,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab
2008-05-24,Delhi,Delhi Daredevils,Mumbai Indians,Feroz Shah Kotla,Delhi Daredevils
2008-05-24,Chennai,Chennai Super Kings,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk",Rajasthan Royals
2008-05-03,Bangalore,Royal Challengers Bangalore,Deccan Chargers,M Chinnaswamy Stadium,Royal Challengers Bangalore
2008-05-25,Kolkata,Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,Kolkata Knight Riders
2008-05-26,Jaipur,Rajasthan Royals,Mumbai Indians,Sawai Mansingh Stadium,Rajasthan Royals
2008-05-27,Hyderabad,Deccan Chargers,Chennai Super Kings,"Rajiv Gandhi International Stadium, Uppal",Chennai Super Kings
2008-05-30,Mumbai,Delhi Daredevils,Rajasthan Royals,Wankhede Stadium,Rajasthan Royals
2008-05-31,Mumbai,Chennai Super Kings,Kings XI Punjab,Wankhede Stadium,Chennai Super Kings
2008-06-01,Mumbai,Chennai Super Kings,Rajasthan Royals,Dr DY Patil Sports Academy,Rajasthan Royals
2009-04-18,Cape Town,Chennai Super Kings,Mumbai Indians,Newlands,Mumbai Indians
2009-04-18,Cape Town,Royal Challengers Bangalore,Rajasthan Royals,Newlands,Royal Challengers Bangalore
2009-04-19,Cape Town,Delhi Daredevils,Kings XI Punjab,Newlands,Delhi Daredevils
2009-04-19,Cape Town,Deccan Chargers,Kolkata Knight Riders,Newlands,Deccan Chargers
2009-04-20,Port Elizabeth,Royal Challengers Bangalore,Chennai Super Kings,St George's Park,Chennai Super Kings
2009-04-21,Durban,Kings XI Punjab,Kolkata Knight Riders,Kingsmead,Kolkata Knight Riders
2009-04-22,Cape Town,Royal Challengers Bangalore,Deccan Chargers,Newlands,Deccan Chargers
2009-04-23,Durban,Chennai Super Kings,Delhi Daredevils,Kingsmead,Delhi Daredevils
2009-04-23,Cape Town,Kolkata Knight Riders,Rajasthan Royals,Newlands,No Result
2009-04-24,Durban,Royal Challengers Bangalore,Kings XI Punjab,Kingsmead,Kings XI Punjab
2009-04-25,Durban,Deccan Chargers,Mumbai Indians,Kingsmead,Deccan Chargers
2009-04-26,Port Elizabeth,Royal Challengers Bangalore,Delhi Daredevils,St George's Park,Delhi Daredevils
2009-04-26,Cape Town,Kings XI Punjab,Rajasthan Royals,Newlands,Kings XI Punjab
2009-04-27,Durban,Chennai Super Kings,Deccan Chargers,Kingsmead,Deccan Chargers
2009-04-27,Port Elizabeth,Kolkata Knight Riders,Mumbai Indians,St George's Park,Mumbai Indians
2009-04-28,Centurion,Delhi Daredevils,Rajasthan Royals,SuperSport Park,Rajasthan Royals
2009-04-29,Durban,Royal Challengers Bangalore,Kolkata Knight Riders,Kingsmead,Royal Challengers Bangalore
2009-04-29,Durban,Kings XI Punjab,Mumbai Indians,Kingsmead,Kings XI Punjab
2009-04-30,Centurion,Deccan Chargers,Delhi Daredevils,SuperSport Park,Delhi Daredevils
2009-04-30,Centurion,Chennai Super Kings,Rajasthan Royals,SuperSport Park,Chennai Super Kings
2009-05-01,East London,Kolkata Knight Riders,Mumbai Indians,Buffalo Park,Mumbai Indians
2009-05-01,Durban,Royal Challengers Bangalore,Kings XI Punjab,Kingsmead,Royal Challengers Bangalore
2009-05-02,Port Elizabeth,Deccan Chargers,Rajasthan Royals,St George's Park,Rajasthan Royals
2009-05-02,Johannesburg,Chennai Super Kings,Delhi Daredevils,New Wanderers Stadium,Chennai Super Kings
2009-05-03,Port Elizabeth,Kings XI Punjab,Kolkata Knight Riders,St George's Park,Kings XI Punjab
2009-05-03,Johannesburg,Royal Challengers Bangalore,Mumbai Indians,New Wanderers Stadium,Royal Challengers Bangalore
2009-05-04,East London,Chennai Super Kings,Deccan Chargers,Buffalo Park,Chennai Super Kings
2009-05-05,Durban,Kings XI Punjab,Rajasthan Royals,Kingsmead,Rajasthan Royals
2009-05-05,Durban,Delhi Daredevils,Kolkata Knight Riders,Kingsmead,Delhi Daredevils
2009-05-06,Centurion,Deccan Chargers,Mumbai Indians,SuperSport Park,Deccan Chargers
2009-05-07,Centurion,Royal Challengers Bangalore,Rajasthan Royals,SuperSport Park,Rajasthan Royals
2009-05-07,Centurion,Chennai Super Kings,Kings XI Punjab,SuperSport Park,Chennai Super Kings
2009-05-08,East London,Delhi Daredevils,Mumbai Indians,Buffalo Park,Delhi Daredevils
2009-05-09,Kimberley,Deccan Chargers,Kings XI Punjab,De Beers Diamond Oval,Kings XI Punjab
2009-05-09,Kimberley,Chennai Super Kings,Rajasthan Royals,De Beers Diamond Oval,Chennai Super Kings
2009-05-10,Port Elizabeth,Royal Challengers Bangalore,Mumbai Indians,St George's Park,Mumbai Indians
2009-05-10,Johannesburg,Delhi Daredevils,Kolkata Knight Riders,New Wanderers Stadium,Delhi Daredevils
2009-05-11,Kimberley,Deccan Chargers,Rajasthan Royals,De Beers Diamond Oval,Deccan Chargers
2009-05-12,Centurion,Royal Challengers Bangalore,Kolkata Knight Riders,SuperSport Park,Royal Challengers Bangalore
2009-05-12,Centurion,Kings XI Punjab,Mumbai Indians,SuperSport Park,Mumbai Indians
2009-05-13,Durban,Deccan Chargers,Delhi Daredevils,Kingsmead,Delhi Daredevils
2009-05-14,Durban,Royal Challengers Bangalore,Chennai Super Kings,Kingsmead,Royal Challengers Bangalore
2009-05-14,Durban,Mumbai Indians,Rajasthan Royals,Kingsmead,Rajasthan Royals
2009-05-15,Bloemfontein,Delhi Daredevils,Kings XI Punjab,OUTsurance Oval,Kings XI Punjab
2009-05-16,Port Elizabeth,Chennai Super Kings,Mumbai Indians,St George's Park,Chennai Super Kings
2009-05-16,Johannesburg,Deccan Chargers,Kolkata Knight Riders,New Wanderers Stadium,Deccan Chargers
2009-05-17,Johannesburg,Deccan Chargers,Kings XI Punjab,New Wanderers Stadium,Kings XI Punjab
2009-05-17,Bloemfontein,Delhi Daredevils,Rajasthan Royals,OUTsurance Oval,Delhi Daredevils
2009-05-18,Centurion,Chennai Super Kings,Kolkata Knight Riders,SuperSport Park,Kolkata Knight Riders
2009-05-19,Johannesburg,Royal Challengers Bangalore,Delhi Daredevils,New Wanderers Stadium,Royal Challengers Bangalore
2009-05-20,Durban,Kolkata Knight Riders,Rajasthan Royals,Kingsmead,Kolkata Knight Riders
2009-05-20,Durban,Chennai Super Kings,Kings XI Punjab,Kingsmead,Chennai Super Kings
2009-05-21,Centurion,Delhi Daredevils,Mumbai Indians,SuperSport Park,Delhi Daredevils
2009-05-21,Centurion,Royal Challengers Bangalore,Deccan Chargers,SuperSport Park,Royal Challengers Bangalore
2009-05-22,Centurion,Delhi Daredevils,Deccan Chargers,SuperSport Park,Deccan Chargers
2009-05-23,Johannesburg,Royal Challengers Bangalore,Chennai Super Kings,New Wanderers Stadium,Royal Challengers Bangalore
2009-05-24,Johannesburg,Royal Challengers Bangalore,Deccan Chargers,New Wanderers Stadium,Deccan Chargers
2010-03-12,Mumbai,Deccan Chargers,Kolkata Knight Riders,Dr DY Patil Sports Academy,Kolkata Knight Riders
2010-03-13,Mumbai,Mumbai Indians,Rajasthan Royals,Brabourne Stadium,Mumbai Indians
2010-03-13,Chandigarh,Kings XI Punjab,Delhi Daredevils,"Punjab Cricket Association Stadium, Mohali",Delhi Daredevils
2010-03-14,Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens,Kolkata Knight Riders
2010-03-14,Chennai,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",Deccan Chargers
2010-03-15,Ahmedabad,Rajasthan Royals,Delhi Daredevils,"Sardar Patel Stadium, Motera",Delhi Daredevils
2010-03-16,Bangalore,Royal Challengers Bangalore,Kings XI Punjab,M Chinnaswamy Stadium,Royal Challengers Bangalore
2010-03-16,Kolkata,Kolkata Knight Riders,Chennai Super Kings,Eden Gardens,Chennai Super Kings
2010-03-17,Delhi,Delhi Daredevils,Mumbai Indians,Feroz Shah Kotla,Mumbai Indians
2010-03-18,Bangalore,Royal Challengers Bangalore,Rajasthan Royals,M Chinnaswamy Stadium,Royal Challengers Bangalore
2010-03-19,Delhi,Delhi Daredevils,Chennai Super Kings,Feroz Shah Kotla,Chennai Super Kings
2010-03-19,Cuttack,Deccan Chargers,Kings XI Punjab,Barabati Stadium,Deccan Chargers
2010-03-20,Ahmedabad,Rajasthan Royals,Kolkata Knight Riders,"Sardar Patel Stadium, Motera",Rajasthan Royals
2010-03-20,Mumbai,Mumbai Indians,Royal Challengers Bangalore,Brabourne Stadium,Royal Challengers Bangalore
2010-03-21,Cuttack,Deccan Chargers,Delhi Daredevils,Barabati Stadium,Deccan Chargers
2010-03-21,Chennai,Chennai Super Kings,Kings XI Punjab,"MA Chidambaram Stadium, Chepauk",No Result
2010-03-22,Mumbai,Mumbai Indians,Kolkata Knight Riders,Brabourne Stadium,Mumbai Indians
2010-03-23,Bangalore,Royal Challengers Bangalore,Chennai Super Kings,M Chinnaswamy Stadium,Royal Challengers Bangalore
2010-03-24,Chandigarh,Kings XI Punjab,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",Rajasthan Royals
2010-03-25,Mumbai,Chennai Super Kings,Mumbai Indians,"Brabourne Stadium, Mumbai",Mumbai Indians
2010-03-26,Ahmedabad,Rajasthan Royals,Deccan Chargers,"Sardar Patel Stadium, Motera",Rajasthan Royals
2010-03-27,Chandigarh,Kings XI Punjab,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",Kolkata Knight Riders
2010-03-25,Bangalore,Royal Challengers Bangalore,Delhi Daredevils,M Chinnaswamy Stadium,Delhi Daredevils
2010-03-28,Ahmedabad,Rajasthan Royals,Chennai Super Kings,"Sardar Patel Stadium, Motera",Rajasthan Royals
2010-03-28,Mumbai,Deccan Chargers,Mumbai Indians,Dr DY Patil Sports Academy,Mumbai Indians
2010-03-29,Delhi,Delhi Daredevils,Kolkata Knight Riders,Feroz Shah Kotla,Delhi Daredevils
2010-03-30,Mumbai,Mumbai Indians,Kings XI Punjab,Brabourne Stadium,Mumbai Indians
2010-03-31,Chennai,Chennai Super Kings,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
2010-03-31,Delhi,Delhi Daredevils,Rajasthan Royals,Feroz Shah Kotla,Delhi Daredevils
2010-04-01,Kolkata,Kolkata Knight Riders,Deccan Chargers,Eden Gardens,Kolkata Knight Riders
2010-04-02,Chandigarh,Kings XI Punjab,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",Royal Challengers Bangalore
2010-04-03,Chennai,Chennai Super Kings,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
2010-04-03,Mumbai,Mumbai Indians,Deccan Chargers,Brabourne Stadium,Mumbai Indians
2010-04-04,Kolkata,Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,Kings XI Punjab
2010-04-04,Delhi,Delhi Daredevils,Royal Challengers Bangalore,Feroz Shah Kotla,Delhi Daredevils
2010-04-05,Nagpur,Deccan Chargers,Rajasthan Royals,"Vidarbha Cricket Association Stadium, Jamtha",Rajasthan Royals
2010-04-06,Chennai,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
2010-04-07,Jaipur,Rajasthan Royals,Kings XI Punjab,Sawai Mansingh Stadium,Rajasthan Royals
2010-04-07,Kolkata,Kolkata Knight Riders,Delhi Daredevils,Eden Gardens,Kolkata Knight Riders
2010-04-08,Bangalore,Royal Challengers Bangalore,Deccan Chargers,M Chinnaswamy Stadium,Deccan Chargers
2010-04-09,Chandigarh,Kings XI Punjab,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab
2010-04-10,Nagpur,Deccan Chargers,Chennai Super Kings,"Vidarbha Cricket Association Stadium, Jamtha",Deccan Chargers
2010-04-10,Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,Royal Challengers Bangalore
2010-04-11,Delhi,Delhi Daredevils,Kings XI Punjab,Feroz Shah Kotla,Kings XI Punjab
2010-04-11,Jaipur,Rajasthan Royals,Mumbai Indians,Sawai Mansingh Stadium,Mumbai Indians
2010-04-12,Nagpur,Deccan Chargers,Royal Challengers Bangalore,"Vidarbha Cricket Association Stadium, Jamtha",Deccan Chargers
2010-04-13,Mumbai,Mumbai Indians,Delhi Daredevils,Brabourne Stadium,Mumbai Indians
2010-04-13,Chennai,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
2010-04-14,Jaipur,Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,Royal Challengers Bangalore
2010-04-15,Chennai,Chennai Super Kings,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",Delhi Daredevils
2010-04-16,Dharamsala,Kings XI Punjab,Deccan Chargers,Himachal Pradesh Cricket Association Stadium,Deccan Chargers
2010-04-17,Bangalore,Royal Challengers Bangalore,Mumbai Indians,M Chinnaswamy Stadium,Mumbai Indians
2010-04-17,Kolkata,Kolkata Knight Riders,Rajasthan Royals,Eden Gardens,Kolkata Knight Riders
2010-04-18,Dharamsala,Kings XI Punjab,Chennai Super Kings,Himachal Pradesh Cricket Association Stadium,Chennai Super Kings
2010-04-18,Delhi,Delhi Daredevils,Deccan Chargers,Feroz Shah Kotla,Deccan Chargers
2010-04-19,Kolkata,Kolkata Knight Riders,Mumbai Indians,Eden Gardens,Kolkata Knight Riders
2010-04-21,Mumbai,Royal Challengers Bangalore,Mumbai Indians,Dr DY Patil Sports Academy,Mumbai Indians
2010-04-22,Mumbai,Chennai Super Kings,Deccan Chargers,Dr DY Patil Sports Academy,Chennai Super Kings
2010-04-24,Mumbai,Royal Challengers Bangalore,Deccan Chargers,Dr DY Patil Sports Academy,Royal Challengers Bangalore
2010-04-25,Mumbai,Chennai Super Kings,Mumbai Indians,Dr DY Patil Sports Academy,Chennai Super Kings
2011-04-08,Chennai,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
2011-04-09,Hyderabad,Deccan Chargers,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",Rajasthan Royals
2011-04-09,Kochi,Kochi Tuskers Kerala,Royal Challengers Bangalore,Nehru Stadium,Royal Challengers Bangalore
2011-04-10,Delhi,Delhi Daredevils,Mumbai Indians,Feroz Shah Kotla,Mumbai Indians
2011-04-10,Mumbai,Pune Warriors,Kings XI Punjab,Dr DY Patil Sports Academy,Pune Warriors
2011-04-11,Kolkata,Kolkata Knight Riders,Deccan Chargers,Eden Gardens,Kolkata Knight Riders
2011-04-12,Jaipur,Rajasthan Royals,Delhi Daredevils,Sawai Mansingh Stadium,Rajasthan Royals
2011-04-12,Bangalore,Royal Challengers Bangalore,Mumbai Indians,M Chinnaswamy Stadium,Mumbai Indians
2011-04-13,Chandigarh,Kings XI Punjab,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab
2011-04-13,Mumbai,Pune Warriors,Kochi Tuskers Kerala,Dr DY Patil Sports Academy,Pune Warriors
2011-04-14,Hyderabad,Deccan Chargers,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers
2011-04-15,Jaipur,Rajasthan Royals,Kolkata Knight Riders,Sawai Mansingh Stadium,Kolkata Knight Riders
2011-04-15,Mumbai,Mumbai Indians,Kochi Tuskers Kerala,Wankhede Stadium,Kochi Tuskers Kerala
2011-04-16,Chennai,Chennai Super Kings,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
2011-04-16,Hyderabad,Deccan Chargers,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",Kings XI Punjab
2011-04-17,Mumbai,Pune Warriors,Delhi Daredevils,Dr DY Patil Sports Academy,Delhi Daredevils
2011-04-17,Kolkata,Kolkata Knight Riders,Rajasthan Royals,Eden Gardens,Kolkata Knight Riders
2011-04-18,Kochi,Kochi Tuskers Kerala,Chennai Super Kings,Nehru Stadium,Kochi Tuskers Kerala
2011-04-19,Delhi,Delhi Daredevils,Deccan Chargers,Feroz Shah Kotla,Deccan Chargers
2011-04-20,Mumbai,Mumbai Indians,Pune Warriors,Wankhede Stadium,Mumbai Indians
2011-04-20,Kolkata,Kolkata Knight Riders,Kochi Tuskers Kerala,Eden Gardens,Kochi Tuskers Kerala
2011-04-21,Chandigarh,Kings XI Punjab,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab
2011-04-22,Mumbai,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,Mumbai Indians
2011-04-22,Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens,Royal Challengers Bangalore
2011-04-23,Delhi,Delhi Daredevils,Kings XI Punjab,Feroz Shah Kotla,Delhi Daredevils
2011-04-24,Hyderabad,Deccan Chargers,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians
2011-04-24,Jaipur,Rajasthan Royals,Kochi Tuskers Kerala,Sawai Mansingh Stadium,Rajasthan Royals
2011-04-25,Chennai,Chennai Super Kings,Pune Warriors,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
2011-04-26,Delhi,Delhi Daredevils,Royal Challengers Bangalore,Feroz Shah Kotla,Royal Challengers Bangalore
2011-04-27,Mumbai,Pune Warriors,Chennai Super Kings,Dr DY Patil Sports Academy,Chennai Super Kings
2011-04-27,Kochi,Kochi Tuskers Kerala,Deccan Chargers,Nehru Stadium,Deccan Chargers
2011-04-28,Delhi,Delhi Daredevils,Kolkata Knight Riders,Feroz Shah Kotla,Kolkata Knight Riders
2011-04-29,Jaipur,Rajasthan Royals,Mumbai Indians,Sawai Mansingh Stadium,Rajasthan Royals
2011-04-29,Bangalore,Royal Challengers Bangalore,Pune Warriors,M Chinnaswamy Stadium,Royal Challengers Bangalore
2011-04-30,Kochi,Kochi Tuskers Kerala,Delhi Daredevils,Nehru Stadium,Delhi Daredevils
2011-04-30,Kolkata,Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,Kolkata Knight Riders
2011-05-01,Jaipur,Rajasthan Royals,Pune Warriors,Sawai Mansingh Stadium,Rajasthan Royals
2011-05-01,Chennai,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
2011-05-02,Mumbai,Mumbai Indians,Kings XI Punjab,Wankhede Stadium,Mumbai Indians
2011-05-02,Delhi,Delhi Daredevils,Kochi Tuskers Kerala,Feroz Shah Kotla,Kochi Tuskers Kerala
2011-05-03,Hyderabad,Deccan Chargers,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",Kolkata Knight Riders
2011-05-04,Chennai,Chennai Super Kings,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
2011-05-04,Mumbai,Pune Warriors,Mumbai Indians,Dr DY Patil Sports Academy,Mumbai Indians
2011-05-05,Kochi,Kochi Tuskers Kerala,Kolkata Knight Riders,Nehru Stadium,Kochi Tuskers Kerala
2011-05-05,Hyderabad,Deccan Chargers,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",Delhi Daredevils
2011-05-06,Bangalore,Royal Challengers Bangalore,Kings XI Punjab,M Chinnaswamy Stadium,Royal Challengers Bangalore
2011-05-07,Kolkata,Kolkata Knight Riders,Chennai Super Kings,Eden Gardens,Kolkata Knight Riders
2011-05-07,Mumbai,Mumbai Indians,Delhi Daredevils,Wankhede Stadium,Mumbai Indians
2011-05-08,Bangalore,Royal Challengers Bangalore,Kochi Tuskers Kerala,M Chinnaswamy Stadium,Royal Challengers Bangalore
2011-05-08,Chandigarh,Kings XI Punjab,Pune Warriors,"Punjab Cricket Association Stadium, Mohali",Pune Warriors
2011-05-09,Jaipur,Rajasthan Royals,Chennai Super Kings,Sawai Mansingh Stadium,Chennai Super Kings
